cty,sc,yr,wht,rce,crl_mze_str,sgr,swt_stm_alc,pls_nut_ocr_spc,vol,vgt,frt,cmt_rmt_omt,pmt,omt,mlk_dai_egg
BRA,SSP1,2050,0.177,0.07,-0.113,0.085,0.085,0.015,0.133,0.583,0.319,0.041,0.443,0.041,0.134
BRA,SSP1,2100,0.16,0.06,-0.113,0.08,0.08,0.015,0.124,0.451,0.273,-0.055,0.42,-0.055,0.124
BRA,SSP2,2015,0.189,0.079,-0.112,0.088,0.088,0.015,0.141,0.755,0.365,0.098,0.456,0.098,0.142
BRA,SSP2,2050,0.178,0.071,-0.113,0.085,0.085,0.015,0.134,0.598,0.323,0.048,0.445,0.048,0.135
BRA,SSP2,2100,0.161,0.06,-0.113,0.081,0.081,0.015,0.124,0.459,0.276,-0.047,0.422,-0.047,0.125
BRA,SSP3,2015,0.189,0.079,-0.112,0.088,0.088,0.015,0.141,0.755,0.365,0.098,0.456,0.098,0.142
BRA,SSP3,2050,0.18,0.073,-0.113,0.085,0.085,0.015,0.135,0.623,0.331,0.058,0.447,0.058,0.136
BRA,SSP3,2100,0.171,0.067,-0.114,0.083,0.083,0.015,0.13,0.532,0.303,0.013,0.437,0.013,0.131
BRA,SSP4,2015,0.189,0.079,-0.112,0.088,0.088,0.015,0.141,0.755,0.365,0.098,0.456,0.098,0.142
BRA,SSP4,2050,0.178,0.071,-0.113,0.085,0.085,0.015,0.134,0.596,0.323,0.047,0.444,0.047,0.135
BRA,SSP4,2100,0.161,0.06,-0.113,0.081,0.081,0.015,0.124,0.455,0.275,-0.051,0.421,-0.051,0.125
BRA,SSP5,2015,0.189,0.079,-0.112,0.088,0.088,0.015,0.141,0.755,0.365,0.098,0.456,0.098,0.142
BRA,SSP5,2050,0.175,0.069,-0.113,0.084,0.084,0.015,0.132,0.563,0.313,0.031,0.441,0.031,0.133
BRA,SSP5,2100,0.155,0.056,-0.113,0.079,0.079,0.015,0.12,0.419,0.261,-0.097,0.409,-0.097,0.121
CHN,SSP1,2015,0.164,0.05,-0.348,0.252,0.252,0.033,0.344,0.199,0.144,0.108,0.913,0.108,0.288
CHN,SSP1,2050,0.152,0.044,-0.406,0.225,0.225,0.033,0.296,0.181,0.136,0.063,0.792,0.063,0.253
CHN,SSP1,2100,0.143,0.04,-0.476,0.209,0.209,0.032,0.269,0.17,0.13,0.029,0.719,0.029,0.233
CHN,SSP2,2015,0.164,0.05,-0.348,0.252,0.252,0.033,0.344,0.199,0.144,0.108,0.913,0.108,0.288
CHN,SSP2,2050,0.153,0.044,-0.4,0.227,0.227,0.033,0.3,0.183,0.136,0.067,0.801,0.067,0.256
CHN,SSP2,2100,0.144,0.04,-0.466,0.21,0.21,0.032,0.272,0.171,0.131,0.033,0.727,0.033,0.235
CHN,SSP3,2015,0.164,0.05,-0.348,0.252,0.252,0.033,0.344,0.199,0.144,0.108,0.913,0.108,0.288
CHN,SSP3,2050,0.155,0.045,-0.389,0.231,0.231,0.033,0.306,0.185,0.138,0.074,0.818,0.074,0.261
CHN,SSP3,2100,0.151,0.044,-0.408,0.224,0.224,0.033,0.295,0.181,0.135,0.062,0.788,0.062,0.252
CHN,SSP4,2015,0.164,0.05,-0.348,0.252,0.252,0.033,0.344,0.199,0.144,0.108,0.913,0.108,0.288
CHN,SSP4,2050,0.152,0.044,-0.403,0.226,0.226,0.033,0.298,0.182,0.136,0.065,0.796,0.065,0.255
CHN,SSP4,2100,0.144,0.04,-0.467,0.21,0.21,0.032,0.272,0.171,0.131,0.032,0.726,0.032,0.235
CHN,SSP5,2015,0.164,0.05,-0.348,0.252,0.252,0.033,0.344,0.199,0.144,0.108,0.913,0.108,0.288
CHN,SSP5,2050,0.15,0.043,-0.416,0.222,0.222,0.033,0.291,0.179,0.135,0.057,0.778,0.057,0.249
CHN,SSP5,2100,0.138,0.038,-0.539,0.2,0.2,0.032,0.256,0.165,0.128,0.009,0.682,0.009,0.223
EGY,SSP1,2015,0.147,-0.008,-0.185,0.14,0.14,0.027,0.438,0.211,0.164,0.523,0.866,0.523,0.381
EGY,SSP1,2050,0.133,-0.021,-0.198,0.129,0.129,0.027,0.348,0.187,0.15,0.318,0.717,0.318,0.31
